copper loss(W),iron loss(W),eddy current loss(W),Overall tem rise（°C）,coil tem rise（°C）,Permanent magnet tem rise（°C）
1300,244,164,189.5521353,116.665867,101.3799905
1300,244,200,193.5410952,126.7810623,110.3386306
1300,300,20,179.8013444,91.93983389,79.48109246
1300,300,56,183.7903043,102.0550292,88.43973255
1300,300,92,187.7792642,112.1702246,97.39837265
1300,300,128,191.7682241,122.2854199,106.3570127
1300,300,164,195.757184,132.4006153,115.3156528
1300,300,200,199.746144,142.5158106,124.2742929
1400,20,20,159.8794793,13.42201431,9.791144913
1400,20,56,163.8684392,23.53720966,18.749785
1400,20,92,167.8573991,33.652405,27.7084251
1400,20,128,171.846359,43.76760035,36.6670652
1400,20,164,175.8353189,53.8827957,45.62570529
1400,20,200,179.8242788,63.99799106,54.5843454
1400,76,20,166.084528,29.15676263,23.72680728
1400,76,56,170.0734879,39.27195798,32.68544738
1400,76,92,174.0624479,49.38715333,41.64408747
1400,76,128,178.0514078,59.50234868,50.60272757
1400,76,164,182.0403677,69.61754403,59.56136766
1400,76,200,186.0293276,79.73273938,68.52000777
1400,132,20,172.2895768,44.89151095,37.66246965
1400,132,56,176.2785367,55.0067063,46.62110975
1400,132,92,180.2674966,65.12190165,55.57974984
1400,132,128,184.2564565,75.237097,64.53838994
1400,132,164,188.2454165,85.35229235,73.49703004
1400,132,200,192.2343764,95.4674877,82.45567013
1400,188,20,178.4946255,60.62625927,51.59813202
1400,188,56,182.4835855,70.74145462,60.55677212
1400,188,92,186.4725454,80.85664997,69.51541222
1400,188,128,190.4615053,90.97184532,78.47405231
1400,188,164,194.4504652,101.0870407,87.43269241
1400,188,200,198.4394251,111.202236,96.39133251
1400,244,20,184.6996743,76.3610076,65.5337944
1400,244,56,188.6886342,86.47620295,74.49243449
1400,244,92,192.6775941,96.5913983,83.45107459
1400,244,128,196.6665541,106.7065936,92.40971468
1400,244,164,200.655514,116.821789,101.3683548
1400,244,200,204.6444739,126.9369843,110.3269949
1400,300,20,190.9047231,92.09575592,79.46945677
1400,300,56,194.893683,102.2109513,88.42809686
1400,300,92,198.8826429,112.3261466,97.38673697
1400,300,128,202.8716028,122.441342,106.3453771
1400,300,164,206.8605627,132.5565373,115.3040172
1400,300,200,210.8495227,142.6717327,124.2626573
1500,20,20,170.9828579,13.57793633,9.77950922
1500,20,56,174.9718179,23.69313168,18.73814932
1500,20,92,178.9607778,33.80832703,27.69678942
1500,20,128,182.9497377,43.92352238,36.65542951
1500,20,164,186.9386976,54.03871773,45.6140696
1500,20,200,190.9276575,64.15391308,54.5727097
1500,76,20,177.1879067,29.31268465,23.71517159
1500,76,56,181.1768666,39.42788001,32.67381169
1500,76,92,185.1658265,49.54307536,41.63245179
1500,76,128,189.1547865,59.6582707,50.59109188
1500,76,164,193.1437464,69.77346605,59.54973198
1500,76,200,197.1327063,79.8886614,68.50837207
1500,132,20,183.3929555,45.04743297,37.65083396
1500,132,56,187.3819154,55.16262833,46.60947406
1500,132,92,191.3708753,65.27782368,55.56811416
1500,132,128,195.3598352,75.39301903,64.52675426
1500,132,164,199.3487951,85.50821438,73.48539435
1500,132,200,203.3377551,95.62340973,82.44403444
1500,188,20,189.5980042,60.7821813,51.58649633
1500,188,56,193.5869641,70.89737665,60.54513643
1500,188,92,197.5759241,81.012572,69.50377653
1500,188,128,201.564884,91.12776736,78.46241663
1500,188,164,205.5538439,101.2429627,87.42105672
1500,188,200,209.5428038,111.3581581,96.37969682
1500,244,20,195.803053,76.51692963,65.52215872
1500,244,56,199.7920129,86.63212497,74.4807988
1500,244,92,203.7809728,96.74732032,83.4394389
1500,244,128,207.7699327,106.8625157,92.398079
1500,244,164,211.7588927,116.977711,101.3567191
1500,244,200,215.7478526,127.0929064,110.3153592
1500,300,20,202.0081017,92.25167795,79.45782109
1500,300,56,205.9970617,102.3668733,88.41646117
1500,300,92,209.9860216,112.4820687,97.37510128
1500,300,128,213.9749815,122.597264,106.3337414
1500,300,164,217.9639414,132.7124593,115.2923815
1500,300,200,221.9529013,142.8276547,124.2510216
